<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 3, 4, 5, 6, 7, 8, 9, 11, 15, 16
<V>
3, 5, 9, 11, 15
<coordinates X,Y>
665.289518003747, 694.7372293203497
585.7998541093758, 837.352250379866
735.9074409372371, 33.463468711263836
4.112871231918799, 208.87804741102238
882.6606161016151, 726.9926828676413
653.0619540974141, 132.80294105291335
523.6832131016228, 659.0068851208057
238.3067026416323, 191.12473661426438
319.85941061285746, 768.0029205080172
471.00866549283603, 416.3607744047606
329.90170355949095, 95.56325476229064
583.6537764298643, 406.1660065695963
337.35336831814806, 898.8843394045392
90.4527735183538, 698.6214127263879
238.33261408547204, 866.4751384443888
509.023926195156, 95.34863224716003
<adjacency matrix>
1, 9
9, 1
1, 1
2, 4
4, 2
2, 5
5, 2
2, 7
7, 2
2, 11
11, 2
2, 12
12, 2
2, 15
15, 2
2, 16
16, 2
2, 2
3, 4
4, 3
3, 5
5, 3
3, 10
10, 3
3, 15
15, 3
3, 3
4, 5
5, 4
4, 7
7, 4
4, 10
10, 4
4, 11
11, 4
4, 12
12, 4
4, 13
13, 4
4, 4
5, 9
9, 5
5, 15
15, 5
5, 5
6, 7
7, 6
6, 12
12, 6
6, 16
16, 6
6, 6
7, 8
8, 7
7, 10
10, 7
7, 13
13, 7
7, 15
15, 7
7, 7
8, 13
13, 8
8, 14
14, 8
8, 16
16, 8
8, 8
9, 12
12, 9
9, 15
15, 9
9, 9
10, 14
14, 10
10, 10
11, 11
12, 15
15, 12
12, 12
13, 15
15, 13
13, 13
14, 16
16, 14
14, 14
15, 15
16, 16
<end>
