<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 7, 8, 9, 11, 12, 13, 14, 15
<V>
2, 9, 12, 13, 14
<coordinates X,Y>
457.549172584157, 120.12003355304853
653.6112288095084, 861.7181972736818
886.9037767815877, 705.7474156442439
837.4159950487166, 318.36134934229847
396.41691490227043, 539.4526294842298
544.7522559012401, 934.7559405636531
218.3900348694774, 191.78486316153297
947.455138984537, 6.675218045897125
228.603612260153, 122.64685048818609
506.6222306602566, 784.2343317656993
310.57012932399783, 674.255493521771
614.2979534758422, 73.89607898153103
720.1658912521393, 441.1274395636971
566.1410259580063, 178.99179308215648
714.996350056202, 781.0847169495531
275.05453547721453, 799.2081557539894
<adjacency matrix>
1, 3
3, 1
1, 6
6, 1
1, 11
11, 1
1, 13
13, 1
1, 15
15, 1
1, 1
2, 7
7, 2
2, 10
10, 2
2, 16
16, 2
2, 2
3, 9
9, 3
3, 12
12, 3
3, 13
13, 3
3, 14
14, 3
3, 3
4, 12
12, 4
4, 14
14, 4
4, 16
16, 4
4, 4
5, 7
7, 5
5, 8
8, 5
5, 12
12, 5
5, 14
14, 5
5, 5
6, 9
9, 6
6, 11
11, 6
6, 15
15, 6
6, 6
7, 9
9, 7
7, 10
10, 7
7, 15
15, 7
7, 7
8, 10
10, 8
8, 12
12, 8
8, 8
9, 10
10, 9
9, 16
16, 9
9, 9
10, 11
11, 10
10, 14
14, 10
10, 15
15, 10
10, 10
11, 11
12, 14
14, 12
12, 15
15, 12
12, 12
13, 15
15, 13
13, 13
14, 15
15, 14
14, 14
15, 15
16, 16
<end>
