<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 4, 5, 6, 7, 8, 12, 13, 15, 16
<V>
2, 8, 12, 13, 16
<coordinates X,Y>
577.5907792408148, 188.81985651499076
756.0884160307327, 668.7358987358538
616.2302239730463, 79.41968317413357
324.6592960267804, 689.5673178854918
215.17768325995246, 465.0152129075207
960.740892996601, 255.44812423476944
980.9674123991133, 899.6851849637393
332.4486598118374, 992.9188800693224
306.08405988676157, 898.9455860967113
685.2495847965961, 783.996832284511
223.23943971714846, 924.2443624897071
713.6346655556529, 656.2276222964614
492.1660150222416, 578.0048649850006
898.4130428030163, 292.7423951209372
323.44922144208795, 873.8673137591476
675.579156224323, 538.3751932178288
<adjacency matrix>
1, 12
12, 1
1, 13
13, 1
1, 1
2, 7
7, 2
2, 12
12, 2
2, 2
3, 7
7, 3
3, 8
8, 3
3, 14
14, 3
3, 3
4, 6
6, 4
4, 7
7, 4
4, 10
10, 4
4, 12
12, 4
4, 13
13, 4
4, 15
15, 4
4, 16
16, 4
4, 4
5, 11
11, 5
5, 14
14, 5
5, 16
16, 5
5, 5
6, 9
9, 6
6, 11
11, 6
6, 12
12, 6
6, 16
16, 6
6, 6
7, 10
10, 7
7, 11
11, 7
7, 7
8, 9
9, 8
8, 11
11, 8
8, 14
14, 8
8, 8
9, 10
10, 9
9, 9
10, 15
15, 10
10, 16
16, 10
10, 10
11, 15
15, 11
11, 11
12, 13
13, 12
12, 14
14, 12
12, 12
13, 15
15, 13
13, 16
16, 13
13, 13
14, 15
15, 14
14, 16
16, 14
14, 14
15, 15
16, 16
<end>
