<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 6, 7, 8, 9, 10, 12, 15, 16
<V>
9, 10, 12, 15, 16
<coordinates X,Y>
981.1877956940024, 780.3646737746612
270.48382788152577, 194.31124372345533
618.8384335195007, 617.3140758831483
860.6218336391715, 350.47691899407795
216.66278963572586, 897.2023446228708
900.877784641028, 180.80703122813512
104.26169531616256, 245.30861444544985
855.3706031074377, 662.3535814823483
650.8664558749764, 965.8121219935983
967.1299412560362, 715.2729748179446
624.9670746122225, 439.4280653506155
403.0455137990616, 806.814623658853
176.66897582968738, 981.591090126794
462.42422720590724, 254.8295753609401
662.3906371535572, 764.1254211895703
70.92533031581223, 417.1393354870508
<adjacency matrix>
1, 2
2, 1
1, 6
6, 1
1, 8
8, 1
1, 11
11, 1
1, 16
16, 1
1, 1
2, 5
5, 2
2, 12
12, 2
2, 16
16, 2
2, 2
3, 5
5, 3
3, 7
7, 3
3, 8
8, 3
3, 12
12, 3
3, 16
16, 3
3, 3
4, 5
5, 4
4, 8
8, 4
4, 11
11, 4
4, 12
12, 4
4, 14
14, 4
4, 4
5, 6
6, 5
5, 13
13, 5
5, 5
6, 7
7, 6
6, 9
9, 6
6, 10
10, 6
6, 11
11, 6
6, 15
15, 6
6, 16
16, 6
6, 6
7, 9
9, 7
7, 11
11, 7
7, 15
15, 7
7, 7
8, 8
9, 12
12, 9
9, 13
13, 9
9, 16
16, 9
9, 9
10, 14
14, 10
10, 10
11, 14
14, 11
11, 11
12, 16
16, 12
12, 12
13, 13
14, 14
15, 16
16, 15
15, 15
16, 16
<end>
