<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 3, 4, 6, 8, 9, 10, 13, 14, 15, 16
<V>
3, 9, 13, 14, 15
<coordinates X,Y>
559.7003835739024, 580.3855676302184
950.8224578333849, 436.83725389635987
477.8769009835458, 914.617080267326
607.0177512036935, 931.6948974376356
780.3546727139766, 145.23594271827665
835.5218839004799, 660.9016135404299
172.76956242631945, 436.71769147524464
310.1055583243748, 407.0145393766218
286.14795411150783, 943.1418950540096
201.60225611298182, 980.1147168637913
249.64517771091377, 375.65899445590867
560.6601953341439, 184.23499724495343
152.03377577759332, 218.8806563588866
946.818956359274, 685.312023177633
584.4134593324826, 108.65989274922713
479.1562972850323, 17.7281602639665
<adjacency matrix>
1, 5
5, 1
1, 7
7, 1
1, 9
9, 1
1, 11
11, 1
1, 12
12, 1
1, 1
2, 3
3, 2
2, 7
7, 2
2, 14
14, 2
2, 2
3, 10
10, 3
3, 13
13, 3
3, 3
4, 6
6, 4
4, 7
7, 4
4, 9
9, 4
4, 10
10, 4
4, 11
11, 4
4, 12
12, 4
4, 14
14, 4
4, 4
5, 5
6, 7
7, 6
6, 8
8, 6
6, 11
11, 6
6, 12
12, 6
6, 6
7, 10
10, 7
7, 11
11, 7
7, 12
12, 7
7, 7
8, 10
10, 8
8, 11
11, 8
8, 12
12, 8
8, 15
15, 8
8, 8
9, 13
13, 9
9, 9
10, 15
15, 10
10, 10
11, 15
15, 11
11, 11
12, 13
13, 12
12, 14
14, 12
12, 12
13, 14
14, 13
13, 15
15, 13
13, 13
14, 16
16, 14
14, 14
15, 15
16, 16
<end>
