<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 3, 5, 6, 7, 9, 10, 12, 13, 15, 16
<V>
5, 6, 12, 13, 15
<coordinates X,Y>
512.6451971557917, 580.9965581588383
753.2177727871658, 374.4344614819408
405.0047648554974, 711.0882534027911
690.7893232486223, 518.906461184194
231.92195656221878, 96.5213981240067
978.3635518668838, 356.98057668711124
964.7566153645703, 813.5838079198446
637.4347408779156, 647.7294892453705
34.25849361799638, 439.016606577857
819.8386657768033, 435.5159200346268
44.47405313132552, 185.48167953797113
349.3554090391415, 970.223613611683
492.49962712579475, 614.3758852223395
402.87074725381524, 149.6438903331581
930.9454641172849, 231.53325008602707
549.9681897646767, 201.4838590254844
<adjacency matrix>
1, 3
3, 1
1, 9
9, 1
1, 10
10, 1
1, 15
15, 1
1, 16
16, 1
1, 1
2, 5
5, 2
2, 7
7, 2
2, 10
10, 2
2, 11
11, 2
2, 12
12, 2
2, 16
16, 2
2, 2
3, 5
5, 3
3, 8
8, 3
3, 14
14, 3
3, 15
15, 3
3, 3
4, 6
6, 4
4, 8
8, 4
4, 12
12, 4
4, 14
14, 4
4, 4
5, 8
8, 5
5, 9
9, 5
5, 11
11, 5
5, 5
6, 15
15, 6
6, 6
7, 12
12, 7
7, 7
8, 11
11, 8
8, 13
13, 8
8, 14
14, 8
8, 16
16, 8
8, 8
9, 11
11, 9
9, 13
13, 9
9, 14
14, 9
9, 9
10, 14
14, 10
10, 10
11, 11
12, 13
13, 12
12, 15
15, 12
12, 12
13, 13
14, 16
16, 14
14, 14
15, 16
16, 15
15, 15
16, 16
<end>
