<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13
<V>
2, 3, 6, 8, 10
<coordinates X,Y>
389.0392003979257, 467.23443827809564
341.1993984409636, 99.78807044030495
895.0574706517159, 414.0031699309521
607.9287735085406, 251.7258623145432
918.3618999505401, 172.14383054566275
131.39326597904372, 163.1336052378959
551.144544967004, 707.2725206692767
364.7610849311245, 714.6226794616197
524.5953543558917, 66.38189266898965
579.9582061263192, 498.60059214607793
371.7060630308987, 555.232634496616
393.0078276389984, 26.563243591095937
172.2833290426818, 348.36103713857983
503.0055854242216, 866.6069818860941
65.33987232881276, 1.5310991689808455
698.7424379493244, 805.1323958519694
<adjacency matrix>
1, 2
2, 1
1, 6
6, 1
1, 14
14, 1
1, 1
2, 3
3, 2
2, 7
7, 2
2, 8
8, 2
2, 9
9, 2
2, 12
12, 2
2, 13
13, 2
2, 2
3, 9
9, 3
3, 14
14, 3
3, 3
4, 6
6, 4
4, 8
8, 4
4, 9
9, 4
4, 11
11, 4
4, 12
12, 4
4, 13
13, 4
4, 14
14, 4
4, 15
15, 4
4, 4
5, 15
15, 5
5, 5
6, 8
8, 6
6, 11
11, 6
6, 12
12, 6
6, 6
7, 9
9, 7
7, 10
10, 7
7, 7
8, 9
9, 8
8, 14
14, 8
8, 16
16, 8
8, 8
9, 10
10, 9
9, 9
10, 11
11, 10
10, 13
13, 10
10, 15
15, 10
10, 10
11, 15
15, 11
11, 11
12, 14
14, 12
12, 16
16, 12
12, 12
13, 15
15, 13
13, 13
14, 14
15, 15
16, 16
<end>
