<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 5, 7, 8, 9, 10, 11, 15, 16
<V>
2, 5, 9, 10, 16
<coordinates X,Y>
769.9156955406338, 97.56805348175202
693.3813207107972, 836.8283723523921
117.8126156407524, 607.8849125893498
238.8898579699737, 883.3132039603954
478.76338648216995, 619.9642548279904
524.7455499358218, 143.8967456488102
589.0214099849768, 730.1381709133336
966.1774417053593, 691.2884083937254
519.5908616310144, 308.3911481363669
117.53370334933378, 94.87250878970823
81.03813457578929, 418.1089078744206
83.38791788398407, 633.2082993084018
768.8015588036188, 854.4928924024955
995.4181534038415, 808.8363263462144
363.6573009287256, 766.6085377286361
633.070058883224, 609.8322357001174
<adjacency matrix>
1, 15
15, 1
1, 16
16, 1
1, 1
2, 4
4, 2
2, 7
7, 2
2, 11
11, 2
2, 16
16, 2
2, 2
3, 6
6, 3
3, 7
7, 3
3, 8
8, 3
3, 10
10, 3
3, 12
12, 3
3, 14
14, 3
3, 3
4, 6
6, 4
4, 9
9, 4
4, 10
10, 4
4, 11
11, 4
4, 4
5, 6
6, 5
5, 13
13, 5
5, 16
16, 5
5, 5
6, 9
9, 6
6, 11
11, 6
6, 12
12, 6
6, 15
15, 6
6, 16
16, 6
6, 6
7, 10
10, 7
7, 11
11, 7
7, 12
12, 7
7, 16
16, 7
7, 7
8, 8
9, 15
15, 9
9, 9
10, 15
15, 10
10, 16
16, 10
10, 10
11, 11
12, 13
13, 12
12, 12
13, 14
14, 13
13, 15
15, 13
13, 13
14, 15
15, 14
14, 16
16, 14
14, 14
15, 15
16, 16
<end>
