<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 5, 6, 7, 9, 10, 11, 13, 15, 16
<V>
2, 5, 6, 9, 16
<coordinates X,Y>
734.6377510496424, 517.4343494305772
96.34874852952954, 742.9935965606007
149.8035870282624, 780.931027809264
645.9631125796215, 247.39107983276094
832.7613079733887, 397.2431564396603
844.9820927476708, 753.084389941533
136.21780821540065, 211.04802311188658
603.543318301949, 974.0965012557587
716.1447381941863, 517.1710489303654
129.744190450665, 390.3208594576627
341.4832641464153, 530.2176501060794
282.43368765098995, 417.84826316072946
953.3760473847406, 214.53226169261728
324.823117048953, 331.6270050730629
2.6005435822369964, 208.11141814091684
91.05514054908863, 774.3569944209224
<adjacency matrix>
1, 3
3, 1
1, 9
9, 1
1, 13
13, 1
1, 1
2, 7
7, 2
2, 8
8, 2
2, 9
9, 2
2, 11
11, 2
2, 12
12, 2
2, 2
3, 7
7, 3
3, 8
8, 3
3, 9
9, 3
3, 13
13, 3
3, 3
4, 6
6, 4
4, 7
7, 4
4, 8
8, 4
4, 10
10, 4
4, 14
14, 4
4, 4
5, 7
7, 5
5, 11
11, 5
5, 12
12, 5
5, 5
6, 8
8, 6
6, 9
9, 6
6, 15
15, 6
6, 6
7, 13
13, 7
7, 16
16, 7
7, 7
8, 10
10, 8
8, 11
11, 8
8, 12
12, 8
8, 13
13, 8
8, 8
9, 10
10, 9
9, 11
11, 9
9, 16
16, 9
9, 9
10, 12
12, 10
10, 10
11, 16
16, 11
11, 11
12, 12
13, 15
15, 13
13, 13
14, 15
15, 14
14, 14
15, 15
16, 16
<end>
