<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 5, 6, 7, 10, 12, 13, 14, 15, 16
<V>
5, 7, 10, 12, 13
<coordinates X,Y>
207.22580040437245, 577.57083105692
454.72378300816575, 920.4239453466488
136.50136802778005, 76.14240301419262
194.40118091577085, 591.2543768537959
898.4796407930806, 901.2547060952729
556.5238586099518, 822.3824428151628
101.86432091406193, 274.24622567378066
567.7321765482667, 678.1403449071978
530.9755997468924, 543.4283445295374
528.5254195789736, 213.09998191510905
419.06233615280695, 694.5864584911951
963.7396533915551, 896.4559504666038
260.7624184367868, 230.86414263582157
615.5341973677491, 535.8986682170821
854.8347074852679, 155.5677910678231
635.5665719846705, 608.7432267277466
<adjacency matrix>
1, 4
4, 1
1, 8
8, 1
1, 9
9, 1
1, 15
15, 1
1, 16
16, 1
1, 1
2, 3
3, 2
2, 5
5, 2
2, 7
7, 2
2, 10
10, 2
2, 14
14, 2
2, 2
3, 6
6, 3
3, 13
13, 3
3, 3
4, 8
8, 4
4, 10
10, 4
4, 16
16, 4
4, 4
5, 12
12, 5
5, 13
13, 5
5, 14
14, 5
5, 16
16, 5
5, 5
6, 11
11, 6
6, 12
12, 6
6, 16
16, 6
6, 6
7, 8
8, 7
7, 9
9, 7
7, 10
10, 7
7, 12
12, 7
7, 13
13, 7
7, 15
15, 7
7, 7
8, 11
11, 8
8, 13
13, 8
8, 15
15, 8
8, 8
9, 11
11, 9
9, 9
10, 10
11, 13
13, 11
11, 14
14, 11
11, 11
12, 13
13, 12
12, 12
13, 16
16, 13
13, 13
14, 14
15, 15
16, 16
<end>
