<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 3, 5, 7, 8, 10, 11, 12, 13, 14, 16
<V>
5, 7, 8, 13, 16
<coordinates X,Y>
893.6310464132465, 600.2617873373774
279.63463151098995, 841.2932097378493
855.0509314391421, 543.8691387445863
802.3629248002392, 324.12870724651555
831.3224532853368, 655.9467581257944
90.83062634294461, 219.36873641761758
594.1642737015158, 843.4607486892187
569.4225917218585, 566.4327185029437
293.6892248947292, 404.9405112949135
209.85501831302605, 959.6768757131567
2.3276210629077974, 4.421699201133251
472.7730611903763, 97.01527061555717
672.0185718554748, 838.9634955889272
605.7451436692286, 846.9277648031064
955.3362523307876, 538.4498119285331
391.86208829173904, 805.3730280891946
<adjacency matrix>
1, 4
4, 1
1, 5
5, 1
1, 10
10, 1
1, 14
14, 1
1, 1
2, 6
6, 2
2, 7
7, 2
2, 11
11, 2
2, 14
14, 2
2, 16
16, 2
2, 2
3, 7
7, 3
3, 9
9, 3
3, 14
14, 3
3, 3
4, 5
5, 4
4, 7
7, 4
4, 12
12, 4
4, 16
16, 4
4, 4
5, 6
6, 5
5, 10
10, 5
5, 12
12, 5
5, 5
6, 8
8, 6
6, 14
14, 6
6, 15
15, 6
6, 6
7, 10
10, 7
7, 13
13, 7
7, 14
14, 7
7, 7
8, 9
9, 8
8, 8
9, 10
10, 9
9, 12
12, 9
9, 14
14, 9
9, 9
10, 11
11, 10
10, 12
12, 10
10, 14
14, 10
10, 10
11, 15
15, 11
11, 11
12, 13
13, 12
12, 15
15, 12
12, 12
13, 13
14, 15
15, 14
14, 14
15, 15
16, 16
<end>
