<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 4, 5, 9, 10, 11, 13, 15, 16
<V>
5, 9, 11, 13, 15
<coordinates X,Y>
745.4810342007022, 44.878174721199784
298.4291173674972, 315.2352318832464
874.3974635240875, 691.0421963442275
800.5473576257248, 946.0188898491065
910.738558621208, 293.1169590641883
374.4622299441116, 569.149028737243
333.75583202839516, 622.9485925455167
187.26873612794373, 898.6510490058486
990.6379884902849, 757.1536530610961
918.7207687909512, 93.00414312317864
724.9179547996184, 963.7372824999246
707.6090748683689, 349.68582068772275
66.7058593518733, 723.7499656360179
394.1801208965031, 276.3313704007762
188.30863403433713, 533.1752535896131
621.7562722533067, 65.84510751849967
<adjacency matrix>
1, 10
10, 1
1, 12
12, 1
1, 14
14, 1
1, 1
2, 4
4, 2
2, 5
5, 2
2, 7
7, 2
2, 10
10, 2
2, 2
3, 4
4, 3
3, 10
10, 3
3, 12
12, 3
3, 3
4, 13
13, 4
4, 14
14, 4
4, 4
5, 6
6, 5
5, 9
9, 5
5, 16
16, 5
5, 5
6, 7
7, 6
6, 8
8, 6
6, 9
9, 6
6, 10
10, 6
6, 6
7, 11
11, 7
7, 14
14, 7
7, 15
15, 7
7, 7
8, 10
10, 8
8, 12
12, 8
8, 14
14, 8
8, 15
15, 8
8, 8
9, 11
11, 9
9, 13
13, 9
9, 16
16, 9
9, 9
10, 11
11, 10
10, 14
14, 10
10, 10
11, 15
15, 11
11, 11
12, 12
13, 15
15, 13
13, 13
14, 15
15, 14
14, 16
16, 14
14, 14
15, 16
16, 15
15, 15
16, 16
<end>
