<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 4, 5, 6, 7, 9, 10, 12, 14, 16
<V>
4, 6, 9, 12, 16
<coordinates X,Y>
974.2824376697582, 593.7931464881115
292.9280445084227, 846.9967545659275
723.3319641321708, 33.207257539791655
430.9177095461553, 751.5318683001816
764.6105864468201, 877.6958996427603
82.99479604604784, 546.9858305879767
648.8522274669069, 448.83482581407793
606.8550735416485, 387.5311947834841
826.8161651042475, 838.3243505784241
692.7248252853146, 634.9090100271519
365.4540408091701, 203.6134604929642
313.07325706900235, 696.5811243018012
672.4200691046198, 986.8497112471231
377.7060488097134, 459.4806119822079
273.67600870223237, 773.4731514772673
600.6418173658267, 631.9848945976751
<adjacency matrix>
1, 4
4, 1
1, 5
5, 1
1, 7
7, 1
1, 1
2, 4
4, 2
2, 6
6, 2
2, 7
7, 2
2, 11
11, 2
2, 13
13, 2
2, 16
16, 2
2, 2
3, 9
9, 3
3, 12
12, 3
3, 13
13, 3
3, 14
14, 3
3, 16
16, 3
3, 3
4, 5
5, 4
4, 7
7, 4
4, 4
5, 7
7, 5
5, 9
9, 5
5, 12
12, 5
5, 13
13, 5
5, 5
6, 6
7, 10
10, 7
7, 15
15, 7
7, 7
8, 9
9, 8
8, 12
12, 8
8, 14
14, 8
8, 15
15, 8
8, 8
9, 12
12, 9
9, 14
14, 9
9, 9
10, 12
12, 10
10, 14
14, 10
10, 16
16, 10
10, 10
11, 13
13, 11
11, 14
14, 11
11, 16
16, 11
11, 11
12, 16
16, 12
12, 12
13, 13
14, 15
15, 14
14, 14
15, 15
16, 16
<end>
