<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 4, 5, 7, 8, 10, 11, 15, 16
<V>
4, 8, 11, 15, 16
<coordinates X,Y>
343.6085507707957, 375.23072695351283
970.2989009946707, 719.3475677072533
658.8067471627004, 755.2053930928315
667.7002692079004, 482.85902982377786
394.89604031815816, 691.0092127056448
242.12397597343937, 21.364300042532328
703.8349446600823, 440.70140240932705
256.19750518741205, 459.4353294466972
818.1149305895141, 955.5974778982277
338.92544380477, 556.180771564317
83.51651631456673, 463.6235973798558
512.2888818930895, 178.85114131889375
632.7841963872855, 538.6762794588848
818.8858900564948, 49.672268666290655
516.9265816478895, 376.94723908703656
549.2380136031251, 107.6701158577749
<adjacency matrix>
1, 5
5, 1
1, 6
6, 1
1, 7
7, 1
1, 8
8, 1
1, 9
9, 1
1, 1
2, 3
3, 2
2, 4
4, 2
2, 6
6, 2
2, 8
8, 2
2, 9
9, 2
2, 10
10, 2
2, 2
3, 9
9, 3
3, 11
11, 3
3, 15
15, 3
3, 3
4, 8
8, 4
4, 10
10, 4
4, 4
5, 10
10, 5
5, 15
15, 5
5, 5
6, 7
7, 6
6, 12
12, 6
6, 14
14, 6
6, 16
16, 6
6, 6
7, 8
8, 7
7, 11
11, 7
7, 7
8, 10
10, 8
8, 11
11, 8
8, 13
13, 8
8, 8
9, 10
10, 9
9, 12
12, 9
9, 9
10, 11
11, 10
10, 16
16, 10
10, 10
11, 11
12, 13
13, 12
12, 14
14, 12
12, 15
15, 12
12, 12
13, 15
15, 13
13, 13
14, 15
15, 14
14, 14
15, 15
16, 16
<end>
