<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 15
<V>
3, 4, 5, 9, 13
<coordinates X,Y>
697.8296270908901, 279.11820604755775
582.3508358868373, 505.18097413292315
284.56707280325855, 470.187854766205
308.05811680211144, 439.9302195766212
142.10501183498252, 116.26221326082357
535.6065678281612, 706.0940040068509
112.49177000052113, 476.15286548090023
132.77077275165198, 942.0726718882989
828.2612714126573, 980.8181222400773
149.91433765335626, 369.5982293750475
461.0298244449371, 684.7605048491624
141.78755618982743, 631.3380218449048
450.8666591882371, 681.3615148962016
562.1716493839518, 755.8347944717998
400.6952465254199, 262.16534790813165
38.30314389553542, 488.159379368899
<adjacency matrix>
1, 11
11, 1
1, 15
15, 1
1, 1
2, 3
3, 2
2, 7
7, 2
2, 9
9, 2
2, 16
16, 2
2, 2
3, 5
5, 3
3, 8
8, 3
3, 10
10, 3
3, 14
14, 3
3, 15
15, 3
3, 3
4, 7
7, 4
4, 8
8, 4
4, 15
15, 4
4, 4
5, 8
8, 5
5, 10
10, 5
5, 12
12, 5
5, 5
6, 7
7, 6
6, 9
9, 6
6, 6
7, 9
9, 7
7, 13
13, 7
7, 14
14, 7
7, 15
15, 7
7, 16
16, 7
7, 7
8, 9
9, 8
8, 11
11, 8
8, 14
14, 8
8, 16
16, 8
8, 8
9, 10
10, 9
9, 13
13, 9
9, 16
16, 9
9, 9
10, 10
11, 13
13, 11
11, 15
15, 11
11, 11
12, 14
14, 12
12, 15
15, 12
12, 16
16, 12
12, 12
13, 13
14, 14
15, 15
16, 16
<end>
