<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 4, 6, 7, 8, 9, 13, 14, 15
<V>
3, 4, 6, 13, 14
<coordinates X,Y>
70.42722232523353, 346.0723356317938
883.9567025624963, 531.9303362184655
524.5306186521074, 399.5790978380187
233.16920185269157, 101.78751490517806
32.20283091354922, 973.506882563835
757.9263250960817, 53.01586114500021
864.6161927693952, 427.46624857809235
797.2103656603463, 124.18977191182084
846.0146812787518, 531.290290874826
197.79486320937824, 961.8891262485491
187.8710576905497, 81.31895740422878
559.4570374468966, 822.5297503789603
102.54777622652851, 994.7462240566136
195.60142378492733, 270.7074062292603
970.0334588770139, 137.41295881118927
846.4582901985291, 327.29368313472975
<adjacency matrix>
1, 2
2, 1
1, 4
4, 1
1, 7
7, 1
1, 15
15, 1
1, 1
2, 7
7, 2
2, 11
11, 2
2, 2
3, 5
5, 3
3, 14
14, 3
3, 15
15, 3
3, 3
4, 5
5, 4
4, 6
6, 4
4, 9
9, 4
4, 10
10, 4
4, 12
12, 4
4, 16
16, 4
4, 4
5, 9
9, 5
5, 12
12, 5
5, 16
16, 5
5, 5
6, 9
9, 6
6, 11
11, 6
6, 13
13, 6
6, 15
15, 6
6, 6
7, 9
9, 7
7, 10
10, 7
7, 13
13, 7
7, 14
14, 7
7, 7
8, 10
10, 8
8, 13
13, 8
8, 14
14, 8
8, 8
9, 11
11, 9
9, 16
16, 9
9, 9
10, 13
13, 10
10, 16
16, 10
10, 10
11, 11
12, 13
13, 12
12, 12
13, 13
14, 15
15, 14
14, 14
15, 16
16, 15
15, 15
16, 16
<end>
