<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 3, 5, 6, 9, 10, 11, 12, 13, 14
<V>
2, 5, 6, 11, 14
<coordinates X,Y>
560.9630114846377, 570.2519055706937
819.9474543037352, 202.83777726971186
853.3422314027247, 218.59512165770403
501.7140421757716, 702.8772587963997
154.11334504222302, 676.118953838644
873.0733652654302, 778.4804045030547
818.29632309882, 809.1637699448358
615.0556918034214, 494.3120633560526
70.77426658939554, 520.7280393910752
351.9114079243432, 104.60645905060585
735.5002694214265, 994.898861808212
997.3474612699692, 93.52136377313371
653.9496117316974, 796.5314582518482
141.33070532864363, 898.4558571740811
647.0857313118825, 133.1822803377742
115.67036058294295, 851.4175273271741
<adjacency matrix>
1, 5
5, 1
1, 8
8, 1
1, 10
10, 1
1, 12
12, 1
1, 15
15, 1
1, 1
2, 5
5, 2
2, 6
6, 2
2, 10
10, 2
2, 2
3, 5
5, 3
3, 6
6, 3
3, 8
8, 3
3, 9
9, 3
3, 11
11, 3
3, 16
16, 3
3, 3
4, 7
7, 4
4, 11
11, 4
4, 15
15, 4
4, 4
5, 12
12, 5
5, 13
13, 5
5, 16
16, 5
5, 5
6, 8
8, 6
6, 11
11, 6
6, 12
12, 6
6, 6
7, 10
10, 7
7, 7
8, 10
10, 8
8, 15
15, 8
8, 8
9, 14
14, 9
9, 9
10, 11
11, 10
10, 14
14, 10
10, 15
15, 10
10, 10
11, 14
14, 11
11, 16
16, 11
11, 11
12, 13
13, 12
12, 12
13, 14
14, 13
13, 13
14, 15
15, 14
14, 16
16, 14
14, 14
15, 15
16, 16
<end>
