<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 2, 4, 5, 7, 9, 11, 12, 13, 14, 16
<V>
2, 11, 12, 14, 16
<coordinates X,Y>
450.8257764765236, 927.1800224960394
576.6301099363145, 903.7870306059289
903.5862612850965, 357.1723237221116
371.26423760261224, 310.680229356003
241.0036734231904, 115.69653043839372
416.17494478579033, 663.4724594661088
306.42312513978135, 390.468744037992
263.59877371381765, 929.3661715214421
751.3969255094493, 682.4377409173891
377.8145751444622, 679.3877774936719
592.0667829001156, 192.20247161805455
723.9174936946487, 382.14121818972114
411.0694848196044, 499.05259853173186
787.5040435688384, 38.402155734913485
379.8228383026894, 59.04924140311529
393.78849526905765, 556.2797819167936
<adjacency matrix>
1, 4
4, 1
1, 5
5, 1
1, 9
9, 1
1, 15
15, 1
1, 1
2, 12
12, 2
2, 2
3, 5
5, 3
3, 7
7, 3
3, 9
9, 3
3, 15
15, 3
3, 3
4, 7
7, 4
4, 10
10, 4
4, 11
11, 4
4, 12
12, 4
4, 14
14, 4
4, 15
15, 4
4, 4
5, 9
9, 5
5, 13
13, 5
5, 15
15, 5
5, 5
6, 9
9, 6
6, 10
10, 6
6, 11
11, 6
6, 12
12, 6
6, 13
13, 6
6, 14
14, 6
6, 6
7, 9
9, 7
7, 10
10, 7
7, 12
12, 7
7, 15
15, 7
7, 7
8, 14
14, 8
8, 16
16, 8
8, 8
9, 11
11, 9
9, 13
13, 9
9, 16
16, 9
9, 9
10, 10
11, 13
13, 11
11, 14
14, 11
11, 11
12, 13
13, 12
12, 12
13, 13
14, 14
15, 15
16, 16
<end>
