<number of nodes>
16
<ratio of available edges>
0.3
<D 2/3>
1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 15
<V>
3, 5, 9, 12, 13
<coordinates X,Y>
683.6702012701422, 750.8817128786019
616.5961422910163, 798.4082458706895
963.8114200917162, 281.93124076642255
275.31247301042106, 920.9295128677969
231.2023948360782, 838.1448537442211
67.27522950649906, 838.6274957724278
207.93491073466518, 613.894638389884
495.15352012316316, 708.0161722924706
7.900859574917965, 415.17273796446153
314.7401210895688, 226.2591367149782
3.3572482224224087, 0.7579418876597684
556.4662624230541, 30.769677518648145
507.40806620154876, 922.6106443978467
141.21289926436438, 624.0690097004168
106.10626110487141, 607.7681537046689
347.8513477691042, 274.4439756358581
<adjacency matrix>
1, 2
2, 1
1, 4
4, 1
1, 16
16, 1
1, 1
2, 3
3, 2
2, 6
6, 2
2, 9
9, 2
2, 11
11, 2
2, 15
15, 2
2, 2
3, 6
6, 3
3, 8
8, 3
3, 12
12, 3
3, 15
15, 3
3, 3
4, 6
6, 4
4, 7
7, 4
4, 9
9, 4
4, 10
10, 4
4, 11
11, 4
4, 15
15, 4
4, 16
16, 4
4, 4
5, 8
8, 5
5, 9
9, 5
5, 14
14, 5
5, 5
6, 12
12, 6
6, 15
15, 6
6, 6
7, 10
10, 7
7, 11
11, 7
7, 16
16, 7
7, 7
8, 9
9, 8
8, 15
15, 8
8, 8
9, 12
12, 9
9, 15
15, 9
9, 9
10, 11
11, 10
10, 10
11, 11
12, 13
13, 12
12, 15
15, 12
12, 16
16, 12
12, 12
13, 16
16, 13
13, 13
14, 14
15, 15
16, 16
<end>
